city_id,utcOffset,station,station_id,url,station_name,station_description,station_genre,station_url
4bt53WGI,-300,La Retro Radio,WroGbmES,/listen/laretroradio/WroGbmES,La Retro radio,,Rock,http://laretroradio.com
KXcDeFyY,120,Générations Reggae,Ws3yNbpJ,/listen/generations-reggae/Ws3yNbpJ,,,,
iHdX6qQY,180,100fm Top 40,WtUvE9nC,/listen/100fm-top-40/WtUvE9nC,100Top40,,,
0ndtBE34,120,Delta FM,Wt_dR_EC,/listen/delta-fm-main/Wt_dR_EC,Delta FM Dunkerque,,,
o5ZJ7lQK,120,Radio Città Futura,WuhwzXVf,/listen/radiocittafutura/WuhwzXVf,Radio Citta' Futura,La Citta' dei suoni e delle parole,Classic Rock,https://www.radiocittafutura.it
o7qcngj1,120,Unique Classic Rock,WxgVD2sM,/listen/unique-classic-rock/WxgVD2sM,Unique Classic Rock,Unique Classic Rock,Classic Rock,www.unique.am
HSBmaHQc,120,Radio LDR,Wy0H6MEl,/listen/radio-ldr/Wy0H6MEl,Radio LDR,,Various,http://www.radioldr.it
4a60VH7Q,120,89.8 Energy Bremen FM,Wyyf5Aqq,/listen/energy/Wyyf5Aqq,energybremen,Unspecified description,various,http://www.ffn.de
kvHh2EYU,-300,Salsa Son y Sabor Latino,Wz9OaRXm,/listen/salsa-son-y-sabor-latino/Wz9OaRXm,Salsa Son y Sabor Latino,Ricardo Alvear,Salsa dura,http://salsasonysaborlatino.weebly.com
2QTNoQIf,60,Oxigénio FM 102.6,Wz9Skght,/listen/radio-oxigenio/Wz9Skght,Oxigenio,"102 6 FM Lisboa, musica para respirar!",(null),https://www.oxigenio.fm/
PAqaf0X4,-420,Q 96.1 FM - KSQQ,WzBVby1R,/listen/ksqq/WzBVby1R,KSQQ Radio Comercial,KSQQ Radio Comercial,Portuguese,https://www.ksqq.com
AFmZT30I,-480,Q 96.1 FM - KSQQ,WzBVby1R,/listen/ksqq/WzBVby1R,KSQQ Radio Comercial,KSQQ Radio Comercial,Portuguese,https://www.ksqq.com
DRAGDKFV,120,Loopreizen Radio DAB+ 7D,WzF3qDWi,/listen/loopreizen-radio/WzF3qDWi,4EVER49 Radio,Celebrating Life,POP,https://4ever49radio.nl
B7DS4V1m,120,Hotmix Radio HipHop,WzTMJXrS,/listen/hotmix-radio-hiphop/WzTMJXrS,Jamendo Lounge,Music to relax,,
Ex3LR1xR,420,Radio Katro,WzlYrqNC,/listen/radio-katro/WzlYrqNC,Radio Katro,,Pop,
