city_id,latitude,longitude,city,country
5cbSQPKp,-1.759398,53.795982,Bradford,United Kingdom
31cdNRcR,5.959869,52.20355,Apeldoorn,Netherlands
5SHxpqlV,21.490236,39.45298,Stournareika,Greece
KXcDeFyY,4.835659,45.76404,Lyon,France
BCmT7Ir6,-4.836456,50.516655,Wadebridge,United Kingdom
mFxWfHUs,-99.13321,19.432608,Mexico City,Mexico
IgQ9XxkV,16.37382,48.208176,Vienna,Austria
IygdvYzG,18.701359,59.759583,Norrtälje,Sweden
T2a6C6Ub,-1.3762239,47.720947,Châteaubriant,France
rFQPSqRr,25.279652,54.687157,Vilnius,Lithuania
gyX1Pab0,30.335098,59.93428,Saint Petersburg,Russia
1Onrfc4x,-122.334045,48.421215,Mount Vernon WA,United States
tMSfeUyo,-43.96827,-19.975698,Buritis MG,Brazil
hacy1eak,-121.786896,36.8044,Moss Landing CA,United States
gunY7VcQ,-95.05863,46.92218,Park Rapids MN,United States
CkOOnTRn,39.20888,51.675495,Voronezh,Russia
nCXX75VA,59.506638,22.565275,Sur,Oman
NbhRjP6p,-43.115223,-22.885897,Niterói RJ,Brazil
ARXzBqK7,44.499104,40.179184,Yerevan,Armenia
5doN6tVm,-93.055176,34.5037,Hot Springs AR,United States
PGExGZid,8.214552,53.14345,Oldenburg,Germany
fx6t2Wzo,-44.17726,-22.540852,Barra Mansa RJ,Brazil
LAMgRqaQ,-58.507553,-34.471737,San Isidro,Argentina
fhp9pBJO,4.4777327,51.92442,Rotterdam,Netherlands
WgDN3Xlp,-65.755005,-19.57228,Potosi,Bolivia
95J6tXiS,-1.363501,53.432602,Rotherham,United Kingdom
UIeIgiQh,100.43149,5.517235,Kepala Batas,Malaysia
xGCdtpPi,172.63623,-43.532055,Christchurch,New Zealand
fymwq5M5,-76.64981,5.695633,Quibdó,Colombia
gTDATeLQ,8.309307,47.050167,Lucerne,Switzerland
fZNI10TX,-78.14588,0.0425351,Cayambe,Ecuador
8M6YcdoM,-90.50688,14.634915,Guatemala City,Guatemala
y48Sr1ed,-79.86934,44.153973,Alliston ON,Canada
8jT3Pml0,21.427996,41.997345,Skopje,North Macedonia
bQbUD1Ue,9.210879,49.142693,Heilbronn,Germany
pNmbsGqA,-2.9915726,53.40837,Liverpool,United Kingdom
1HQ4CS75,-72.49669,7.889097,Cúcuta,Colombia
NvkKyFxE,17.107748,48.148598,Bratislava,Slovakia
4thhI1OU,174.2956,-35.64679,Kauri,New Zealand
RluYRCNI,6.2937737,51.9647,Doetinchem,Netherlands
a2TvoaEK,-94.88585,47.487537,Bemidji MN,United States
IhumTa5u,61.436844,55.16444,Chelyabinsk,Russia
hAcQoHeI,7.2619534,43.710175,Nice,France
Zzf2BEmM,100.48942,5.643589,Sungai Petani,Malaysia
1WKrxCPe,-80.2645,34.993767,Peachland NC,United States
FmDMRBzP,8.536624,39.310646,Iglesias,Italy
vWDUkj1y,-122.74967,53.917065,Prince George,Canada
Ypo5kmFO,122.35731,14.059279,Calauag,Philippines
kvHh2EYU,-74.806984,11.004107,Barranquilla,Colombia
0STu-J5-,-8.390569,40.028294,Penela,Portugal
cZnWRQfj,35.501743,33.89408,Beirut,Lebanon
FAocTMJo,-6.7705803,62.012356,Tórshavn,Faroe Islands
BtPJFJZV,12.266,43.817646,Pennabilli,Italy
P1sljHEE,-2.910688,54.19101,Grange-over-Sands,United Kingdom
rwZegBln,-122.47868,48.75191,Bellingham WA,United States
jKnqGFgD,7.6272244,47.055935,Burgdorf,Switzerland
9Q87VCpR,-80.80814,35.585915,Mooresville NC,United States
BBHBj0Uv,-50.41878,-22.660435,Assis SP,Brazil
a7Wlsob2,-98.39593,34.603565,Lawton OK,United States
s2Ge7LMH,17.921297,50.675106,Opole,Poland
h4d5MBQU,24.018036,35.51383,Chania,Greece
JA4qa8gk,-47.882164,-15.794229,Brasília DF,Brazil
dtSLl1NA,39.701504,47.235714,Rostov-on-Don,Russia
cqriJmMK,-8.374572,42.42115,A Lama,Spain
rsnSAXUQ,24.940424,37.44181,Ermoupoli,Greece
6sGYAYTc,-75.6906,4.8087173,Pereira,Colombia
k7PEveHp,13.518915,43.61583,Ancona,Italy
rfA9HPmx,-84.76752,43.59781,Mount Pleasant MI,United States
0lq3njBZ,-71.30555,46.102833,Thetford Mines,Canada
SM1evFPG,-1.470085,53.38113,Sheffield,United Kingdom
1iXpCtq2,25.510813,69.47193,Karasjok,Norway
1wPnpXKj,13.737262,51.050407,Dresden,Germany
LHIaxErZ,-1.6777925,48.117268,Rennes,France
8CKRVU3Z,-54.81255,-22.22356,Dourados MS,Brazil
Yxfr4dF6,-123.265434,47.05315,McCleary WA,United States
pYT7LARm,-72.98193,10.603721,Villanueva,Colombia
aJX0PXTC,4.721765,49.76181,Charleville-Mézières,France
Qu9ccWUt,7.360626,46.233124,Sion,Switzerland
FVoZDKE9,27.429562,38.614033,Manisa,Turkey
Jo3zEuaF,27.333136,56.509922,Rēzekne,Latvia
